,bias,betha_1,betha_2,betha_3,betha_4,betha_5
count,553.0,553.0,553.0,553.0,553.0,553.0
mean,1.8001020880572047,-0.7412061605479869,-0.07409595400231034,2.6980995664856087,0.29899544867282485,-0.10735042294698059
std,0.5948289936829319,1.4533202055707208,0.4833592746290297,2.420349287069895,0.436939986486626,0.2821730795447607
min,1.3986489755506968,-15.4002495365125,-4.402266114928371,1.8004984940015494,-0.5860967236074315,-2.7239421772029275
25%,1.499644770041982,-0.726606842955964,-0.1378751439828696,2.280101832912894,0.1484899560345843,-0.1812280645678025
50%,1.6974650762374566,-0.59649402633793,0.0529219367540571,2.425391372728046,0.2302164665049573,-0.0691451888727126
75%,2.0893712037504666,-0.4392026926350318,0.1275260124155022,2.567289751016212,0.3727889016136321,0.0102693190180424
max,7.36340393188487,0.3752978194256071,0.6944336446198244,26.843430605200812,4.708122980885011,0.4275524594762239
