,bias,betha_1,betha_2,betha_3,betha_4,betha_5
count,746.0,746.0,746.0,746.0,746.0,746.0
mean,1.7333180916224502,-0.5212742629475332,0.013281619260664413,2.35741732334145,0.272791118064227,0.20196995021699565
std,0.25089407331853797,0.18115676001807077,0.15304991949007782,0.1709732902683645,0.15378191031710475,0.11059180661852906
min,1.3687848512181733,-0.9336125815160016,-0.9226332666123735,1.8490804621538108,-0.1441618884900726,-0.5296237960290512
25%,1.5059764106014493,-0.6567188941614954,-0.09656721820537732,2.233305405742434,0.15308158722488008,0.13343247703512356
50%,1.6897501004042594,-0.5340019438825612,0.04253760831278295,2.3559112701529425,0.2417614212316559,0.211282877131656
75%,2.0583917296289016,-0.40932912014820255,0.12252047926071474,2.481118934369084,0.393693391530476,0.2703382866919784
max,2.2063074554253648,0.0695204621466045,0.3726111241239972,2.7976192325904026,0.745657229275613,0.5469937147907442
