,bias,betha_1,betha_2,betha_3,betha_4,betha_5
count,411.0,411.0,411.0,411.0,411.0,411.0
mean,1.7792676157904932,-0.617030457683295,-0.07043050381699967,2.5156631167896704,0.27369371072132015,-0.09126347658068046
std,0.28097504873636114,0.2967257786123054,0.2635766140185214,0.4122598966670724,0.16773277307570858,0.16111286294470795
min,1.40838549621758,-1.950389023723123,-0.9431705039486687,1.8025217094780035,-0.0880619503610201,-0.637554297485117
25%,1.5066437674646163,-0.7358323332868231,-0.19345200831344606,2.3096095211245755,0.15548663129926527,-0.17407198603146196
50%,1.7064043353289775,-0.586715904395112,0.0332218796403848,2.448093142856833,0.2387574964788343,-0.0651193464432937
75%,2.1020366105089865,-0.43957333698487117,0.1194733001185099,2.5979742736512472,0.38453954127588397,0.0119012693625507
max,3.212265706372382,0.1070725625828061,0.336354239735509,4.7047079330107255,0.8649424065021759,0.3460383752523407
