,bias,betha_1,betha_2,betha_3,betha_4,betha_5
count,582.0,582.0,582.0,582.0,582.0,582.0
mean,1.740791016016635,-0.6030532748913294,-0.07927845958105162,2.464127637335926,0.26837065479293815,-0.10651692244227921
std,0.2544099987982667,0.19647149955467866,0.2496884572017535,0.21056816570363698,0.15021694235455,0.15906415588159908
min,1.4029431077616756,-1.0692735136070937,-0.7323098963461656,1.8733782287607923,-0.0593986162736479,-0.6093642231315519
25%,1.5084899632469198,-0.7358649847703951,-0.2716846338672019,2.3236680011455606,0.15888566547307456,-0.20716537609055546
50%,1.6914240545687909,-0.6230614522019591,0.0332303895591826,2.4562863607583862,0.23272050179254156,-0.0880154797938058
75%,2.082086638156866,-0.4747218132488114,0.11096770987051773,2.5878129857992507,0.3806723089844178,0.00476001861011265
max,2.250957799069356,-0.0485567282336623,0.4021646148312826,3.0712310694634155,0.6781417665929752,0.3856065671086609
