,bias,betha_1,betha_2,betha_3,betha_4,betha_5
count,488.0,488.0,488.0,488.0,488.0,488.0
mean,1.7977222493794311,-0.7375762070135345,-0.07623721122982854,2.6920525871396963,0.29994057931030027,-0.1002326435396607
std,0.5738580384246559,1.4272299857295285,0.48227740833220994,2.3631182830845487,0.4376131077878878,0.27132435739512245
min,1.3986489755506968,-15.4002495365125,-4.402266114928371,1.8004984940015494,-0.5860967236074315,-2.7239421772029275
25%,1.5025445981955636,-0.726240889622075,-0.13757044812432084,2.2939845455950785,0.14834733938738073,-0.1712680858110705
50%,1.6973720164474968,-0.5984352771631345,0.0527459190711147,2.4307755362459043,0.2299095965924039,-0.0623545597783505
75%,2.089070617218881,-0.44281951950299847,0.1238987394085605,2.571116668589852,0.3764475186749424,0.012798630202598225
max,7.36340393188487,0.3752978194256071,0.6944336446198244,26.843430605200812,4.708122980885011,0.4275524594762239
