r/R,mean_delta_x,std_delta_x,mean_delta_y,std_delta_y,mean_delta_z,std_delta_z
0.2001,0.0544,0.0028,-0.0044,0.0018,-0.0507,0.0049
0.2499,-0.0084,0.0018,0.0007,0.0034,-0.0697,0.0088
0.2998,-0.0437,0.0018,-0.0148,0.0067,-0.1856,0.0153
0.3498,-0.0545,0.0018,-0.0124,0.0117,-0.3255,0.026
0.3913,-0.0644,0.0021,-0.0215,0.0165,-0.4476,0.0354
0.4496,-0.106,0.0024,-0.0211,0.0216,-0.6929,0.0466
0.4997,-0.1318,0.0023,-0.0191,0.0266,-0.9323,0.057
0.5387,-0.1629,0.0026,-0.0193,0.0298,-1.1967,0.0644
0.5996,-0.2159,0.0028,-0.0152,0.0358,-1.6005,0.0764
0.6498,-0.2369,0.003,-0.0148,0.041,-2.0769,0.0868
0.6998,-0.2866,0.0032,-0.0097,0.0455,-2.5823,0.0958
0.75,-0.3099,0.0033,-0.0144,0.0508,-3.1339,0.1054
0.8001,-0.3438,0.0038,-0.0252,0.0564,-3.8073,0.1146
0.8497,-0.383,0.0042,-0.0257,0.0613,-4.5117,0.1237
0.9102,-0.4197,0.0046,0.0228,0.068,-5.4465,0.1312
0.9734,-0.3751,0.0061,0.013,0.0745,-6.3721,0.1433
