r/R,mean_delta_x,std_delta_x,mean_delta_y,std_delta_y,mean_delta_z,std_delta_z
0.2001,0.0461,0.0026,-0.0097,0.0013,-0.0257,0.004
0.2499,-0.0144,0.0018,-0.0203,0.0037,-0.0192,0.0076
0.2998,-0.04,0.0016,-0.0418,0.006,-0.1072,0.0122
0.3498,-0.0571,0.002,-0.0768,0.011,-0.1795,0.0212
0.3913,-0.0664,0.0028,-0.1086,0.0159,-0.2527,0.0285
0.4496,-0.1061,0.0031,-0.1347,0.0206,-0.4375,0.0392
0.4997,-0.1311,0.0028,-0.1545,0.0245,-0.6278,0.0494
0.5387,-0.1628,0.003,-0.1719,0.0275,-0.845,0.0571
0.5996,-0.2103,0.0032,-0.1914,0.033,-1.1901,0.0681
0.6498,-0.2343,0.0032,-0.2095,0.0368,-1.611,0.0788
0.6998,-0.2848,0.0032,-0.2267,0.0412,-2.0505,0.0875
0.75,-0.3105,0.0032,-0.2495,0.046,-2.5429,0.0983
0.8001,-0.3462,0.0035,-0.2814,0.0506,-3.1321,0.1095
0.8497,-0.3859,0.0038,-0.3041,0.0554,-3.7587,0.1219
0.9102,-0.4239,0.0044,-0.2836,0.061,-4.5998,0.1377
0.9734,-0.387,0.0053,-0.3198,0.0684,-5.4093,0.1566
